isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	_isolate_name	notes
1000001	202408644	3	1	Alphalipothrixvirus umijigokuense	E	Sulfolobales Beppu filamentous virus 2	SBFV2	clone B	MK064563	NC_048128	Coding-complete genome	dsDNA	archaea	NULL	2493123	same	Alphalipothrixvirus umijigokuense	202308644	NULL	Sulfolobales Beppu filamentous virus 2	NULL
1000002	202408643	2	1	Alphalipothrixvirus beppuense	E	Sulfolobus filamentous virus 1	SFV1	S48	MH447526	NC_048037	Complete genome	dsDNA	archaea	NULL	2304198	same	Alphalipothrixvirus beppuense	202308643	NULL	Sulfolobus filamentous virus 1	NULL
1000003	202401532	4	1	Betalipothrixvirus acidiani	E	Acidianus filamentous virus 3	AFV3	NULL	AM087120	NC_010155	Complete genome	dsDNA	archaea	NULL	346881	same	Betalipothrixvirus acidiani	202301532	NULL	Acidianus filamentous virus 3	NULL
1000004	202401533	7	1	Betalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 6	AFV6	NULL	AM087121	NC_010152	Complete genome	dsDNA	archaea	NULL	346882	same	Betalipothrixvirus pozzuoliense	202301533	NULL	Acidianus filamentous virus 6	NULL
1000005	202401534	6	1	Betalipothrixvirus pezzuloense	E	Acidianus filamentous virus 7	AFV7	NULL	AM087122	NC_010153	Complete genome	dsDNA	archaea	NULL	346883	same	Betalipothrixvirus pezzuloense	202301534	NULL	Acidianus filamentous virus 7	NULL
1000006	202401535	8	1	Betalipothrixvirus puteoliense	E	Acidianus filamentous virus 8	AFV8	NULL	AM087123	NC_010154	Complete genome	dsDNA	archaea	NULL	346884	same	Betalipothrixvirus puteoliense	202301535	NULL	Acidianus filamentous virus 8	NULL
1000007	202401536	9	1	Betalipothrixvirus uzonense	E	Acidianus filamentous virus 9	AFV9	NULL	EU545650	NC_010537	Complete genome	dsDNA	archaea	NULL	512792	same	Betalipothrixvirus uzonense	202301536	NULL	Acidianus filamentous virus 9	NULL
1000008	202401537	5	1	Betalipothrixvirus hveragerdiense	E	Sulfolobus islandicus filamentous virus	SIFV	NULL	AF440571	NC_003214	Complete genome	dsDNA	archaea	NULL	176106	same	Betalipothrixvirus hveragerdiense	202301537	NULL	Sulfolobus islandicus filamentous virus	NULL
1000009	202401539	11	1	Deltalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 2	AFV2	NULL	AJ854042	NC_009884	Complete genome	dsDNA	archaea	NULL	300186	same	Deltalipothrixvirus pozzuoliense	202301539	NULL	Acidianus filamentous virus 2	NULL
1000010	202408645	10	1	Deltalipothrixvirus beppuense	E	Sulfolobales Beppu filamentous virus 3	SBFV3	clone C	MK064564	NC_048127	Coding-complete genome	dsDNA	archaea	NULL	2493124	same	Deltalipothrixvirus beppuense	202308645	NULL	Sulfolobales Beppu filamentous virus 3	NULL
1000011	202411720	12	1	Azorudivirus furnasense	E	Stygiolobus rod-shaped virus	SRV	NULL	FM164764	NC_025375	Coding-complete genome	dsDNA	archaea	NULL	537009	same	Azorudivirus furnasense	202311720	NULL	Stygiolobus rod-shaped virus	NULL
1000012	202411716	15	1	Hoswirudivirus pozzuoliense	E	Acidianus rod-shaped virus 2	ARV2	NULL	KP282675	NC_029314	Coding-complete genome	dsDNA	archaea	NULL	1732175	same	Hoswirudivirus pozzuoliense	202311716	NULL	Acidianus rod-shaped virus 2	NULL
1000013	202411717	13	1	Hoswirudivirus acidiani	E	Acidianus rod-shaped virus 3	ARV3	NULL	MN876842	NC_074632	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus acidiani	202311717	NULL	Acidianus rod-shaped virus 3	NULL
1000014	202411718	14	1	Hoswirudivirus metallosphaerae	E	Metallosphaera rod-shaped virus 1	MRV1	NULL	MN876843	NC_074633	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus metallosphaerae	202311718	NULL	Metallosphaera rod-shaped virus 1	NULL
1000015	202411719	16	1	Hoswirudivirus saccharolobi	E	Saccharolobus solfataricus rod-shaped virus 1	SSRV1	NULL	MN876841	NC_074634	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Hoswirudivirus saccharolobi	202311719	NULL	Saccharolobus solfataricus rod-shaped virus 1	NULL
1000016	202401546	19	1	Icerudivirus kverkfjoellense	E	Sulfolobus islandicus rod-shaped virus 1	SIRV1	NULL	AJ414696	NC_004087	Complete genome	dsDNA	archaea	NULL	157898	same	Icerudivirus kverkfjoellense	202301546	NULL	Sulfolobus islandicus rod-shaped virus 1	NULL
1000017	202401547	18	1	Icerudivirus hveragerdiense	E	Sulfolobus islandicus rod-shaped virus 2	SIRV2	NULL	AJ344259	NC_004086	Complete genome	dsDNA	archaea	NULL	157899	same	Icerudivirus hveragerdiense	202301547	NULL	Sulfolobus islandicus rod-shaped virus 2	NULL
1000018	202411709	17	1	Icerudivirus gunnuhverense	E	Sulfolobus islandicus rod-shaped virus 3	SIRV3	NULL	KX712143	NC_030884	Coding-complete genome	dsDNA	archaea	NULL	1895333	same	Icerudivirus gunnuhverense	202311709	NULL	Sulfolobus islandicus rod-shaped virus 3	NULL
1000019	202401545	20	1	Itarudivirus pozzuoliense	E	Acidianus rod-shaped virus 1	ARV1	NULL	AJ875026	NC_009965	Coding-complete genome	dsDNA	archaea	NULL	309181	same	Itarudivirus pozzuoliense	202301545	NULL	Acidianus rod-shaped virus 1	NULL
1000020	202411721	21	1	Japarudivirus beppuense	E	Sulfolobales Beppu rod-shaped virus 1	SBRV1	NULL	MK064565	NC_074635	Coding-complete genome	dsDNA	archaea	NULL	NULL	same	Japarudivirus beppuense	202311721	NULL	Sulfolobales Beppu rod-shaped virus 1	NULL
1000021	202411722	22	1	Mexirudivirus azufresense	E	Sulfolobales Mexican rod-shaped virus 1	SMRV1	NULL	JX944686	NC_019413	Coding-complete genome	dsDNA	archaea	NULL	1245909	same	Mexirudivirus azufresense	202311722	NULL	Sulfolobales Mexican rod-shaped virus 1	NULL
1000022	202411714	23	1	Usarudivirus acidum	E	Sulfolobus islandicus rod-shaped virus 10	SIRV10	NULL	KY744230	NC_034625	Coding-complete genome	dsDNA	archaea	NULL	1983545	same	Usarudivirus acidum	202311714	NULL	Sulfolobus islandicus rod-shaped virus 10	NULL
1000023	202411715	26	1	Usarudivirus dryadis	E	Sulfolobus islandicus rod-shaped virus 11	SIRV11	NULL	KY744234	NC_034624	Coding-complete genome	dsDNA	archaea	NULL	1983546	same	Usarudivirus dryadis	202311715	NULL	Sulfolobus islandicus rod-shaped virus 11	NULL
1000024	202411710	28	1	Usarudivirus yellowstonense	E	Sulfolobus islandicus rod-shaped virus 4	SIRV4	NULL	KY744231	NC_034628	Coding-complete genome	dsDNA	archaea	NULL	1983547	same	Usarudivirus yellowstonense	202311710	NULL	Sulfolobus islandicus rod-shaped virus 4	NULL
1000025	202411711	27	1	Usarudivirus nymphense	E	Sulfolobus islandicus rod-shaped virus 5	SIRV5	NULL	KY744233	NC_034621	Coding-complete genome	dsDNA	archaea	NULL	1983548	same	Usarudivirus nymphense	202311711	NULL	Sulfolobus islandicus rod-shaped virus 5	NULL
1000026	202411712	25	1	Usarudivirus caloris	E	Sulfolobus islandicus rod-shaped virus 8	SIRV8	NULL	KY744229	NC_034623	Coding-complete genome	dsDNA	archaea	NULL	1983551	same	Usarudivirus caloris	202311712	NULL	Sulfolobus islandicus rod-shaped virus 8	NULL
1000027	202411713	24	1	Usarudivirus aestus	E	Sulfolobus islandicus rod-shaped virus 9	SIRV9	NULL	KY744228	NC_034620	Coding-complete genome	dsDNA	archaea	NULL	1983552	same	Usarudivirus aestus	202311713	NULL	Sulfolobus islandicus rod-shaped virus 9	NULL
1000028	202401541	29	1	Captovirus yellowstonense	E	Acidianus filamentous virus 1	AFV1	NULL	AJ567472	NC_005830	Complete genome	dsDNA	archaea	NULL	235266	same	Captovirus yellowstonense	202301541	NULL	Acidianus filamentous virus 1	NULL
1000029	202414297	30	1	Yumkaaxvirus pescaderoense	E	Methanophagales virus PBV300	PBV300	NULL	OP413840	NC_074636	Complete genome	dsDNA	archaea	NULL	NULL	same	Yumkaaxvirus pescaderoense	202314297	NULL	Methanophagales virus PBV300	NULL
1000030	202405323	31	1	Alphatristromavirus pozzuoliense	E	Pyrobaculum filamentous virus 1	PFV1	NULL	KU307456	NC_029548	Complete genome	dsDNA	archaea	NULL	1805492	same	Alphatristromavirus pozzuoliense	202305323	NULL	Pyrobaculum filamentous virus 1	NULL
1000031	202412054	32	1	Alphatristromavirus puteoliense	E	Pyrobaculum filamentous virus 2	PFV2	NULL	MN876844	NC_074637	Complete genome	dsDNA	archaea	NULL	NULL	same	Alphatristromavirus puteoliense	202312054	NULL	Pyrobaculum filamentous virus 2	NULL
1000032	202405324	33	1	Betatristromavirus kraflaense	E	Thermoproteus tenax virus 1	TTV1	KRA1	X14855	NC_038931	Partial genome	dsDNA	archaea	NULL	10479	same	Betatristromavirus kraflaense	202305324	NULL	Thermoproteus tenax virus 1	NULL
1000033	202401396	34	1	Batravirus ranidallo1	E	Lucké tumor herpesvirus; ranid herpesvirus 1	LTHV; RaHV1	McKinnell	DQ665917	NC_008211	Complete genome	dsDNA	vertebrates	NULL	85655	same	Batravirus ranidallo1	202301396	NULL	Lucké tumor herpesvirus	NULL
1000034	202401397	35	1	Batravirus ranidallo2	E	frog virus 4; ranid herpesvirus 2	FV4; RaHV2	Rafferty	DQ665652	NC_008210	Complete genome	dsDNA	vertebrates	NULL	389214	same	Batravirus ranidallo2	202301397	NULL	frog virus 4	NULL
1000035	202405570	36	1	Batravirus ranidallo3	E	ranid herpesvirus 3	RaHV3	FO1_2015	KX832224	NC_034618	Complete genome	dsDNA	vertebrates	NULL	1987509	same	Batravirus ranidallo3	202305570	NULL	ranid herpesvirus 3	NULL
1000036	202401399	37	1	Cyvirus anguillidallo1	E	Japanese eel herpesvirus; anguillid herpesvirus 1	AngHV1	500138	FJ940765	NC_013668	Complete genome	dsDNA	vertebrates	NULL	150286	same	Cyvirus anguillidallo1	202301399	NULL	Japanese eel herpesvirus	NULL
1000037	202401400	38	1	Cyvirus cyprinidallo1	E	carp pox herpesvirus; cyprinid herpesvirus 1	CyHV1	NG-J1	JQ815363	NC_019491	Complete genome	dsDNA	vertebrates	NULL	317858	same	Cyvirus cyprinidallo1	202301400	NULL	carp pox herpesvirus	NULL
1000038	202401401	39	1	Cyvirus cyprinidallo2	E	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	CyHV2	ST-J1	JQ815364	NC_019495	Complete genome	dsDNA	vertebrates	NULL	317878	same	Cyvirus cyprinidallo2	202301401	NULL	goldfish hematopoietic necrosis virus	NULL
1000039	202401402	40	1	Cyvirus cyprinidallo3	E	koi herpesvirus; cyprinid herpesvirus 3	KHV; CyHV3	KHV-U	DQ657948	NC_009127	Complete genome	dsDNA	vertebrates	NULL	180230	same	Cyvirus cyprinidallo3	202301402	NULL	koi herpesvirus	NULL
1000040	202401404	41	1	Ictavirus acipenseridallo2	E	white sturgeon herpesvirus 2; acipenserid herpesvirus 2	AciHV2	SRWSHV	FJ815289	NC_043042	Partial genome	dsDNA	vertebrates	NULL	320884	same	Ictavirus acipenseridallo2	202301404	NULL	white sturgeon herpesvirus 2	NULL
1000041	202401405	42	1	Ictavirus ictaluridallo1	E	channel catfish virus; ictalurid herpesvirus 1	CCV; IcHV1	Auburn 1	M75136	NC_001493	Complete genome	dsDNA	vertebrates	NULL	10401	same	Ictavirus ictaluridallo1	202301405	NULL	channel catfish virus	NULL
1000042	202401406	43	1	Ictavirus ictaluridallo2	E	black bullhead herpesvirus; ictalurid herpesvirus 2	IcHV2	760/94	MG271984	NC_036579	Complete genome	dsDNA	vertebrates	NULL	508441	same	Ictavirus ictaluridallo2	202301406	NULL	black bullhead herpesvirus	NULL
1000043	202401408	44	1	Salmovirus salmonidallo1	E	herpesvirus salmonis; salmonid herpesvirus 1	SalHV1	Winthrop	AF023673	NC_043043	Partial genome	dsDNA	vertebrates	NULL	67604	same	Salmovirus salmonidallo1	202301408	NULL	herpesvirus salmonis	NULL
1000044	202401409	45	1	Salmovirus salmonidallo2	E	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2	SalHV2	NeVTA	EU349274	NC_075802	Partial genome	dsDNA	vertebrates	NULL	NULL	same	Salmovirus salmonidallo2	202301409	NULL	Oncorhyncus masou herpesvirus	NULL
1000045	202401410	46	1	Salmovirus salmonidallo3	E	epizootic epitheliotropic disease virus; salmonid herpesvirus 3	SalHV3	Wisconsin epidemic	EU349277	NC_043468	Partial genome	dsDNA	vertebrates	NULL	508442	same	Salmovirus salmonidallo3	202301410	NULL	epizootic epitheliotropic disease virus	NULL
1000046	202401525	47	1	Aurivirus haliotidmalaco1	E	abalone herpesvirus; haliotid herpesvirus 1	AbHV1; HaHV1	Victoria/AUS/2009	JX453331	NC_018874	Complete genome	dsDNA	invertebrates	NULL	1241371	same	Aurivirus haliotidmalaco1	202301525	NULL	abalone herpesvirus	NULL
1000047	202401527	48	1	Ostreavirus ostreidmalaco1	E	oyster herpesvirus; ostreid herpesvirus 1	OHV; OsHV1	NULL	AY509253	NC_005881	Complete genome	dsDNA	invertebrates	NULL	261939	same	Ostreavirus ostreidmalaco1	202301527	NULL	oyster herpesvirus	NULL
1000048	202414013	49	1	Iltovirus cacatuidalpha2	E	cacatuid alphaherpesvirus 2	CcAHV2	CaHV2/Melbourne/2015	MK360902	NC_076966	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus cacatuidalpha2	202314013	NULL	cacatuid alphaherpesvirus 2	NULL
1000049	202401414	50	1	Iltovirus gallidalpha1	E	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	GaAHV1; ILTV	SA2	JN596962	NC_075683	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus gallidalpha1	202301414	NULL	gallid alphaherpesvirus 1	NULL
1000050	202401415	51	1	Iltovirus psittacidalpha1	E	psittacid alphaherpesvirus 1; Pacheco's disease virus	PsAHV1; PDV	97-0001	AY372243	NC_005264	Complete genome	dsDNA	vertebrates	NULL	50294	same	Iltovirus psittacidalpha1	202301415	NULL	psittacid alphaherpesvirus 1	NULL
1000051	202414014	52	1	Iltovirus psittacidalpha5	E	psittacid alphaherpesvirus 5	PsAHV5	16-4047	MK955929	NC_077028	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus psittacidalpha5	202314014	NULL	psittacid alphaherpesvirus 5	NULL
1000052	202401417	53	1	Mardivirus anatidalpha1	E	anatid alphaherpesvirus 1; duck enteritis virus	AnAHV1; DEV	2085	JF999965	NC_075687	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Mardivirus anatidalpha1	202301417	NULL	anatid alphaherpesvirus 1	NULL
1000053	202401418	54	1	Mardivirus columbidalpha1	E	columbid alphaherpesvirus 1; pigeon herpesvirus	CoAHV1; PHV	HLJ	KX589235	NC_034266	Complete genome	dsDNA	vertebrates	NULL	93386	same	Mardivirus columbidalpha1	202301418	NULL	columbid alphaherpesvirus 1	NULL
1000054	202401419	55	1	Mardivirus gallidalpha2	E	gallid alphaherpesvirus 2; Marek's disease virus	GaAHV2; MDV	Md5	AF243438	NC_002229	Complete genome	dsDNA	vertebrates	NULL	10390	same	Mardivirus gallidalpha2	202301419	NULL	gallid alphaherpesvirus 2	NULL
1000055	202401420	56	1	Mardivirus gallidalpha3	E	gallid alphaherpesvirus 3; gallid herpesvirus 3	GaAHV3	SB-1	HQ840738	NC_075702	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Mardivirus gallidalpha3	202301420	NULL	gallid alphaherpesvirus 3	NULL
1000056	202401421	57	1	Mardivirus meleagridalpha1	E	meleagrid alphaherpesvirus 1; turkey herpesvirus	MeAHV1; HVT	FC-126 (Burmenester)	AF291866	NC_002641	Complete genome	dsDNA	vertebrates	NULL	37108	same	Mardivirus meleagridalpha1	202301421	NULL	meleagrid alphaherpesvirus 1	NULL
1000057	202406397	58	1	Mardivirus spheniscidalpha1	E	spheniscid alphaherpesvirus 1	SpAHV1	lib01004	LT608135	NC_033464	Complete genome	dsDNA	vertebrates	NULL	2560777	same	Mardivirus spheniscidalpha1	202306397	NULL	spheniscid alphaherpesvirus 1	NULL
1000058	202401423	59	1	Scutavirus chelonidalpha5	E	chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus	ChAHV5; FPTHV	CH-651-60O9	HQ878327	NC_075701	Partial genome	dsDNA	vertebrates	NULL	NULL	same	Scutavirus chelonidalpha5	202301423	NULL	chelonid alphaherpesvirus 5	NULL
1000059	202406398	60	1	Scutavirus testudinidalpha3	E	testudinid alphaherpesvirus 3; testudinid herpesvirus 3	TeAHV3; TeHV3	1976	KM924292	NC_027916	Complete genome	dsDNA	vertebrates	NULL	2560801	same	Scutavirus testudinidalpha3	202306398	NULL	testudinid alphaherpesvirus 3	NULL
1000060	202401425	61	1	Simplexvirus atelinealpha1	E	ateline alphaherpesvirus 1; herpesvirus ateles 1	AtAHV1; HVA1	Lennette	KY385637	NC_034446	Complete genome	dsDNA	vertebrates	NULL	35243	same	Simplexvirus atelinealpha1	202301425	NULL	ateline alphaherpesvirus 1	NULL
1000061	202401426	62	1	Simplexvirus bovinealpha2	E	bovine alphaherpesvirus 2; bovine mammillitis virus	BoAHV2; BMV	C1Z FZR	MT862163	NC_076512	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus bovinealpha2	202301426	NULL	bovine alphaherpesvirus 2	NULL
1000062	202401427	63	1	Simplexvirus cercopithecinealpha2	E	cercopithecine alphaherpesvirus 2; simian agent 8	CeAHV2; SA8	B264	AY714813	NC_006560	Complete genome	dsDNA	vertebrates	NULL	10317	same	Simplexvirus cercopithecinealpha2	202301427	NULL	cercopithecine alphaherpesvirus 2	NULL
1000063	202401428	64	1	Simplexvirus humanalpha1	E	human alphaherpesvirus 1; herpes simplex virus 1	HuAHV1; HSV1	17	JN555585	NC_001806	Complete genome	dsDNA	vertebrates	NULL	10298	same	Simplexvirus humanalpha1	202301428	NULL	human alphaherpesvirus 1	NULL
1000064	202401429	65	1	Simplexvirus humanalpha2	E	human alphaherpesvirus 2; herpes simplex virus 2	HuAHV2; HSV2	HG52	JN561323	NC_001798	Complete genome	dsDNA	vertebrates	NULL	10310	same	Simplexvirus humanalpha2	202301429	NULL	human alphaherpesvirus 2	NULL
1000065	202401430	66	1	Simplexvirus leporidalpha4	E	leporid alphaherpesvirus 4; leporid herpesvirus 4	LeAHV4; LHV4	LHV4012612	JQ596859	NC_029311	Complete genome	dsDNA	vertebrates	NULL	481315	same	Simplexvirus leporidalpha4	202301430	NULL	leporid alphaherpesvirus 4	NULL
1000066	202401431	67	1	Simplexvirus macacinealpha1	E	macacine alphaherpesvirus 1; B-virus	McAHV1; BV	E2490	AF533768	NC_004812	Complete genome	dsDNA	vertebrates	NULL	10325	same	Simplexvirus macacinealpha1	202301431	NULL	macacine alphaherpesvirus 1	NULL
1000067	202408779	68	1	Simplexvirus macacinealpha2	E	macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1	McAHV2	8100812	KY628968	NC_076164	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macacinealpha2	202308779	NULL	macacine alphaherpesvirus 2	NULL
1000068	202408780	69	1	Simplexvirus macacinealpha3	E	macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1	McAHV3	KQ	KY628970	NC_076165	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macacinealpha3	202308780	NULL	macacine alphaherpesvirus 3	NULL
1000069	202401432	70	1	Simplexvirus macropodidalpha1	E	macropodid alphaherpesvirus 1; Parma wallaby herpesvirus	MaAHV1	MaHV1.3076/08	KT594769	NC_029132	Complete genome	dsDNA	vertebrates	NULL	137443	same	Simplexvirus macropodidalpha1	202301432	NULL	macropodid alphaherpesvirus 1	NULL
1000070	202401433	71	1	Simplexvirus macropodidalpha2	E	macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus	MaAHV2	V3077/08	MT900475	NC_076513	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macropodidalpha2	202301433	NULL	macropodid alphaherpesvirus 2	NULL
1000071	202414015	72	1	Simplexvirus macropodidalpha4	E	macropodid alphaherpesvirus 4	MaAHV4	V3116/09	MT900474	NC_076968	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macropodidalpha4	202314015	NULL	macropodid alphaherpesvirus 4	NULL
1000072	202401434	73	1	Simplexvirus paninealpha3	E	panine alphaherpesvirus 3; chimpanzee herpesvirus	PnAHV3; ChHV	105640	JQ360576	NC_023677	Complete genome	dsDNA	vertebrates	NULL	332937	same	Simplexvirus paninealpha3	202301434	NULL	panine alphaherpesvirus 3	NULL
1000073	202401435	74	1	Simplexvirus papiinealpha2	E	papiine alphaherpesvirus 2; herpesvirus papio 2	PaAHV2; HPV2	X313	DQ149153	NC_007653	Complete genome	dsDNA	vertebrates	NULL	340907	same	Simplexvirus papiinealpha2	202301435	NULL	papiine alphaherpesvirus 2	NULL
1000074	202406395	75	1	Simplexvirus pteropodidalpha1	E	pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1	PtHAV1; FBAHV1	NULL	AB825953	NC_024306	Complete genome	dsDNA	vertebrates	NULL	1343901	same	Simplexvirus pteropodidalpha1	202306395	NULL	pteropodid alphaherpesvirus 1	NULL
1000075	202414016	76	1	Simplexvirus pteropodidalpha2	E	pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus	PtAHV2; PLAHV	NULL	LC492974	NC_076965	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus pteropodidalpha2	202314016	NULL	pteropodid alphaherpesvirus 2	NULL
1000076	202401436	77	1	Simplexvirus saimiriinealpha1	E	saimiriine alphaherpesvirus 1; herpesvirus saimiri 1	SaAHV1; HVS1	MV 5-4	HM625781	NC_014567	Complete genome	dsDNA	vertebrates	NULL	10353	same	Simplexvirus saimiriinealpha1	202301436	NULL	saimiriine alphaherpesvirus 1	NULL
1000077	202401440	78	1	Varicellovirus bovinealpha1	E	bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus	BoAHV1; IBRV	Cooper/NVSL challenge 97-11	JX898220	NC_063268	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus bovinealpha1	202301440	NULL	bovine alphaherpesvirus 1	NULL
1000078	202401441	79	1	Varicellovirus bovinealpha5	E	bovine alphaherpesvirus 5; bovine encephalitis herpesvirus	BoAHV5	SV507/99	AY261359	NC_005261	Complete genome	dsDNA	vertebrates	NULL	35244	same	Varicellovirus bovinealpha5	202301441	NULL	bovine alphaherpesvirus 5	NULL
1000079	202401442	80	1	Varicellovirus bubalinealpha1	E	bubaline alphaherpesvirus 1; water buffalo herpesvirus	BuAHV1	b6	KU936049	NC_043054	Complete genome	dsDNA	vertebrates	NULL	202910	same	Varicellovirus bubalinealpha1	202301442	NULL	bubaline alphaherpesvirus 1	NULL
1000080	202401443	81	1	Varicellovirus canidalpha1	E	canid alphaherpesvirus 1; canine herpesvirus	CaAHV1; CHV	194	KT819633	NC_030117	Complete genome	dsDNA	vertebrates	NULL	170325	same	Varicellovirus canidalpha1	202301443	NULL	canid alphaherpesvirus 1	NULL
1000081	202401444	82	1	Varicellovirus caprinealpha1	E	caprine alphaherpesvirus 1; goat herpesvirus	CpAHV1	E/CH	MG989243	NC_076509	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus caprinealpha1	202301444	NULL	caprine alphaherpesvirus 1	NULL
1000082	202401445	83	1	Varicellovirus cercopithecinealpha9	E	cercopithecine alphaherpesvirus 9; simian varicella virus	CeAHV9; SVV	Delta	AF275348	NC_002686	Complete genome	dsDNA	vertebrates	NULL	35246	same	Varicellovirus cercopithecinealpha9	202301445	NULL	cercopithecine alphaherpesvirus 9	NULL
1000083	202401446	84	1	Varicellovirus cervidalpha1	E	cervid alphaherpesvirus 1; red deer herpesvirus	CvAHV1	Anlier	MH036942	NC_075564	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus cervidalpha1	202301446	NULL	cervid alphaherpesvirus 1	NULL
1000084	202401447	85	1	Varicellovirus cervidalpha2	E	cervid alphaherpesvirus 2; reindeer herpesvirus	CvAHV2	Norway	MH036943	NC_075563	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus cervidalpha2	202301447	NULL	cervid alphaherpesvirus 2	NULL
1000085	202409143	86	1	Varicellovirus cervidalpha3	E	cervid alphaherpesvirus 3; elk herpesvirus	CvAHV3	Canada	MH036941	NC_055561	Partial genome	dsDNA	vertebrates	NULL	2115790	same	Varicellovirus cervidalpha3	202309143	NULL	cervid alphaherpesvirus 3	NULL
1000086	202401448	87	1	Varicellovirus equidalpha1	E	equid alphaherpesvirus 1; equine abortion virus	EqAHV1; EAV	Ab4	AY665713	NC_001491	Complete genome	dsDNA	vertebrates	NULL	10326	same	Varicellovirus equidalpha1	202301448	NULL	equid alphaherpesvirus 1	NULL
1000087	202401449	88	1	Varicellovirus equidalpha3	E	equid alphaherpesvirus 3; equine coital exanthema virus	EqAHV3	AR/2007/C3A	KM051845	NC_024771	Complete genome	dsDNA	vertebrates	NULL	80341	same	Varicellovirus equidalpha3	202301449	NULL	equid alphaherpesvirus 3	NULL
1000088	202401450	89	1	Varicellovirus equidalpha4	E	equid alphaherpesvirus 4; equine rhinopneumonitis virus	EqAHV4	NS80567	AF030027	NC_001844	Complete genome	dsDNA	vertebrates	NULL	10331	same	Varicellovirus equidalpha4	202301450	NULL	equid alphaherpesvirus 4	NULL
1000089	202414017	90	1	Varicellovirus equidalpha6	E	equid alphaherpesvirus 6; asinine herpesvirus 1	EqAHV6; AsHV1	AsHV/Bari/2011/740	MT012704	NC_076964	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus equidalpha6	202314017	NULL	equid alphaherpesvirus 6	NULL
1000090	202401451	91	1	Varicellovirus equidalpha8	E	equid alphaherpesvirus 8; asinine herpesvirus 3	EqAHV8	EHV-8/IR/2003/19	MF431611	NC_075566	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus equidalpha8	202301451	NULL	equid alphaherpesvirus 8	NULL
1000091	202401452	92	1	Varicellovirus equidalpha9	E	equid alphaherpesvirus 9; gazelle herpesvirus	EqAHV9	P19	AP010838	NC_011644	Complete genome	dsDNA	vertebrates	NULL	55744	same	Varicellovirus equidalpha9	202301452	NULL	equid alphaherpesvirus 9	NULL
1000092	202401453	93	1	Varicellovirus felidalpha1	E	felid alphaherpesvirus 1; feline viral rhinotracheitis virus	FeAHV1; FVRV	C-27	FJ478159	NC_013590	Complete genome	dsDNA	vertebrates	NULL	10334	same	Varicellovirus felidalpha1	202301453	NULL	felid alphaherpesvirus 1	NULL
1000093	202401454	94	1	Varicellovirus humanalpha3	E	human alphaherpesvirus 3; varicella-zoster virus	HuAHV3; VZV	Dumas	X04370	NC_001348	Complete genome	dsDNA	vertebrates	NULL	10335	same	Varicellovirus humanalpha3	202301454	NULL	human alphaherpesvirus 3	NULL
1000094	202406396	95	1	Varicellovirus monodontidalpha1	E	monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1	MoAHV1	LN3131-1	MF678601	NC_055166	Complete genome	dsDNA	vertebrates	NULL	1434720	same	Varicellovirus monodontidalpha1	202306396	NULL	monodontid alphaherpesvirus 1	NULL
