subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"srcGenus:Rhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"srcGenus:Rhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"srcSpecies:Rhizi[d]iomyces virus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"srcSpecies:Rhizi[""]iomyces virus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"genus:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"genus:NewRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"subgenus:NewSubRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"subgenus:NewSubRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"subgenus:NewSubRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"subgenus:NewSubRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"subgenus:NewSubRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"subgenus:NewSubRhizi[""]iovirus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"species:NewRhizi[d]iomyces virus xls (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"species:NotBinomial Rhizi[d]iomyces virus xls (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"species:NewRhizi[""]iomyces virus xls (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	"species:NotBinomial Rhizi[""]iomyces virus xls (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	"comments:shoul[d] get error/warning: fails binomial naming (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".srcTaxon:Rhizi[d]iomyces virus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	".srcTaxon:Rhizi[""]iomyces virus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".srcLineage:Rhizi[d]iovirus;Rhizi[d]iomyces virus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	".srcLineage:Rhizi[""]iovirus;Rhizi[""]iomyces virus (replacing with '')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".destTaxon:NewRhizi[d]iomyces virus xls (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	6	Create new	genus	NewRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".destTaxon:NewRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	7	Create new	subgenus	NewSubRhizidiovirus	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".destTaxon:NewSubRhizi[d]iovirus (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	8	Create new	species	NotBinomial Rhizidiomyces virus xls	INFO	XLSX.CURVY_DOUBLE_QUOTES_REPLACED	XLSX has curvy quotes	".destTaxon:NotBinomial Rhizi[d]iomyces virus xls (replacing with '""')"	NA
Archaeal viruses (A) proposals	2023.003A	MISSING	2023.003A.N.v1.test_xls.xls	5	Move	species	Rhizidiomyces virus	INFO	XLSX.QUOTES_REMOVED	XLSX has quote	".destTaxon:NewRhizi[""]iomyces virus xls (replacing with '')"	NA
